,train_time,timestamp,train_loss,val_loss,train_score,val_score,batch_size,best,dampening,initial_lr,lr,momentum,nesterov,weight_decay
230,3924.2778947989145,05:03:45 10-06-2021,6.224519044261868,5.374750680610782,0.8991525423728813,0.8844774590163934,32,False,0.0,0.03,0.020448927644287032,0.9,0.0,0.0001
231,3929.653656931718,05:09:07 10-06-2021,6.2537563081515035,5.395324456887167,0.8990466101694915,0.8837090163934426,32,False,0.0,0.03,0.020375679651192087,0.9,0.0,0.0001
232,3935.163531736533,05:14:38 10-06-2021,6.229689467155327,5.381301754810771,0.9043432203389831,0.8847336065573771,32,False,0.0,0.03,0.020302284287977885,0.9,0.0,0.0001
233,3940.612431565921,05:20:05 10-06-2021,6.200009046974829,5.3762903838861185,0.9010593220338983,0.8857581967213115,32,True,0.0,0.03,0.02022874356681537,0.9,0.0,0.0001
234,3946.096308982372,05:25:34 10-06-2021,6.212506851907504,5.362396591999492,0.8996822033898305,0.8888319672131147,32,True,0.0,0.03,0.020155059503860564,0.9,0.0,0.0001
235,3951.522024106979,05:30:59 10-06-2021,6.25057153863422,5.4418580571158985,0.9020127118644068,0.8849897540983607,32,False,0.0,0.03,0.020081234119199282,0.9,0.0,0.0001
236,3956.902277870973,05:36:22 10-06-2021,6.207853747222383,5.400526867538202,0.9043432203389831,0.8885758196721312,32,False,0.0,0.03,0.020007269436791725,0.9,0.0,0.0001
237,3962.232387959957,05:41:42 10-06-2021,6.214854419837564,5.368715907706589,0.8965042372881356,0.8867827868852459,32,False,0.0,0.03,0.019933167484417036,0.9,0.0,0.0001
238,3967.5402293920515,05:47:00 10-06-2021,6.2185111999511715,5.383898527895818,0.8991525423728813,0.8885758196721312,32,False,0.0,0.03,0.01985893029361767,0.9,0.0,0.0001
239,3972.8525015513105,05:52:19 10-06-2021,6.212053552724547,5.368319960891223,0.902542372881356,0.8885758196721312,32,False,0.0,0.03,0.0197845598996437,0.9,0.0,0.0001
240,3978.1360824743906,05:57:36 10-06-2021,6.194715690612793,5.378578713682831,0.8997881355932204,0.8903688524590164,32,True,0.0,0.03,0.019710058341397056,0.9,0.0,0.0001
241,3983.5874916831654,06:03:03 10-06-2021,6.196454503980734,5.36122911093665,0.8957627118644068,0.8855020491803278,32,False,0.0,0.03,0.01963542766137559,0.9,0.0,0.0001
242,3988.884094119072,06:08:21 10-06-2021,6.2278763803385075,5.375846710361418,0.8980932203389831,0.8921618852459017,32,True,0.0,0.03,0.019560669905617094,0.9,0.0,0.0001
243,3994.223957872391,06:13:41 10-06-2021,6.192488193511963,5.376176970903991,0.9016949152542373,0.8896004098360656,32,False,0.0,0.03,0.019485787123643208,0.9,0.0,0.0001
244,3999.4393278598786,06:18:54 10-06-2021,6.185405383675786,5.3638274513307165,0.8979872881355933,0.8872950819672131,32,False,0.0,0.03,0.019410781368403223,0.9,0.0,0.0001
245,4004.601873747508,06:24:04 10-06-2021,6.1802365674810895,5.375898071976959,0.8979872881355933,0.8831967213114754,32,False,0.0,0.03,0.019335654696217813,0.9,0.0,0.0001
246,4009.81562842528,06:29:17 10-06-2021,6.174231214038397,5.3747698127246295,0.9022245762711865,0.8911372950819673,32,False,0.0,0.03,0.019260409166722642,0.9,0.0,0.0001
247,4014.9198021888733,06:34:23 10-06-2021,6.186067451864986,5.365184846471568,0.9003177966101695,0.8862704918032787,32,False,0.0,0.03,0.019185046842811908,0.9,0.0,0.0001
248,4020.0259834686913,06:39:30 10-06-2021,6.183584934169963,5.355925579540065,0.9003177966101695,0.8878073770491803,32,False,0.0,0.03,0.019109569790581794,0.9,0.0,0.0001
249,4025.180432188511,06:44:39 10-06-2021,6.183449344311731,5.362044502477177,0.9016949152542373,0.889344262295082,32,False,0.0,0.03,0.01903398007927381,0.9,0.0,0.0001
250,4030.258318404357,06:49:44 10-06-2021,6.1751147318694555,5.352492609962088,0.8994703389830508,0.8870389344262295,32,False,0.0,0.03,0.01895827978121808,0.9,0.0,0.0001
251,4035.3130953152977,06:54:47 10-06-2021,6.170430618221477,5.357105098786901,0.8976694915254237,0.8880635245901639,32,False,0.0,0.03,0.018882470971776515,0.9,0.0,0.0001
252,4040.3617447217307,06:59:50 10-06-2021,6.155865436489299,5.347919690804403,0.898728813559322,0.890625,32,False,0.0,0.03,0.018806555729285912,0.9,0.0,0.0001
253,4045.3474772850673,07:04:49 10-06-2021,6.168968139260502,5.350970756812174,0.9018008474576271,0.8878073770491803,32,False,0.0,0.03,0.018730536135001006,0.9,0.0,0.0001
254,4050.358947479725,07:09:50 10-06-2021,6.154471963138904,5.337552938304964,0.9010593220338983,0.889344262295082,32,False,0.0,0.03,0.018654414273037368,0.9,0.0,0.0001
255,4055.362637503942,07:14:50 10-06-2021,6.161632007663533,5.341864761759023,0.9008474576271186,0.8901127049180327,32,False,0.0,0.03,0.018578192230314296,0.9,0.0,0.0001
256,4060.3253320495287,07:19:48 10-06-2021,6.158927954657603,5.351186810946856,0.8988347457627118,0.8885758196721312,32,False,0.0,0.03,0.018501872096497597,0.9,0.0,0.0001
257,4065.3104345560077,07:24:47 10-06-2021,6.164405688592943,5.354218369624654,0.8983050847457628,0.8921618852459017,32,False,0.0,0.03,0.018425455963942287,0.9,0.0,0.0001
258,4070.2977051178614,07:29:46 10-06-2021,6.16802286859286,5.34117992197881,0.8917372881355933,0.8934426229508197,32,True,0.0,0.03,0.01834894592763525,0.9,0.0,0.0001
259,4075.3602270444235,07:34:50 10-06-2021,6.148941630024021,5.331677112423006,0.9008474576271186,0.8949795081967213,32,True,0.0,0.03,0.01827234408513777,0.9,0.0,0.0001
260,4080.3834343671797,07:39:51 10-06-2021,6.169323851698536,5.368351877712812,0.9033898305084745,0.8936987704918032,32,False,0.0,0.03,0.01819565253652806,0.9,0.0,0.0001
261,4085.390210946401,07:44:51 10-06-2021,6.105571947259418,5.32487063720578,0.9007415254237288,0.8934426229508197,32,False,0.0,0.03,0.018118873384343665,0.9,0.0,0.0001
262,4090.3749159971876,07:49:51 10-06-2021,6.152942010911844,5.350194204049032,0.9012711864406779,0.8947233606557377,32,False,0.0,0.03,0.01804200873352383,0.9,0.0,0.0001
263,4095.297633600235,07:54:46 10-06-2021,6.13599206633487,5.335867651173325,0.8983050847457628,0.8983094262295082,32,True,0.0,0.03,0.017965060691351776,0.9,0.0,0.0001
264,4100.290479409695,07:59:45 10-06-2021,6.1416328074568405,5.330638346124868,0.8995762711864407,0.8929303278688525,32,False,0.0,0.03,0.017888031367396962,0.9,0.0,0.0001
265,4105.183647811413,08:04:39 10-06-2021,6.130237149384063,5.328539746706603,0.895656779661017,0.8954918032786885,32,False,0.0,0.03,0.017810922873457206,0.9,0.0,0.0001
266,4110.101695076624,08:09:34 10-06-2021,6.130184847621594,5.337344732440886,0.9031779661016949,0.8947233606557377,32,False,0.0,0.03,0.01773373732350082,0.9,0.0,0.0001
267,4115.005453872681,08:14:28 10-06-2021,6.1239684347379,5.324500896891609,0.9011652542372881,0.8998463114754098,32,True,0.0,0.03,0.01765647683360865,0.9,0.0,0.0001
268,4120.000658770403,08:19:28 10-06-2021,6.106951399980965,5.326480603608929,0.9001059322033899,0.8916495901639344,32,False,0.0,0.03,0.01757914352191605,0.9,0.0,0.0001
269,4124.894925916195,08:24:22 10-06-2021,6.117510018106234,5.337323790690938,0.902542372881356,0.8913934426229508,32,False,0.0,0.03,0.017501739508554832,0.9,0.0,0.0001
270,4129.764110044638,08:29:14 10-06-2021,6.138469841520665,5.352989302306879,0.8978813559322034,0.8926741803278688,32,False,0.0,0.03,0.01742426691559512,0.9,0.0,0.0001
271,4134.665118658542,08:34:08 10-06-2021,6.1088630918729105,5.32630663621621,0.8997881355932204,0.8985655737704918,32,False,0.0,0.03,0.017346727866987183,0.9,0.0,0.0001
272,4139.483414347967,08:38:57 10-06-2021,6.102425263291698,5.318616124450183,0.9011652542372881,0.8947233606557377,32,False,0.0,0.03,0.017269124488503207,0.9,0.0,0.0001
273,4144.325660157204,08:43:48 10-06-2021,6.114548817327467,5.309249123588938,0.9013771186440678,0.8980532786885246,32,False,0.0,0.03,0.01719145890767901,0.9,0.0,0.0001
274,4149.153454375267,08:48:37 10-06-2021,6.086556955111229,5.3023146215032355,0.9015889830508474,0.8998463114754098,32,False,0.0,0.03,0.01711373325375573,0.9,0.0,0.0001
275,4153.979894498984,08:53:27 10-06-2021,6.1082989983639475,5.324434081061941,0.9012711864406779,0.897797131147541,32,False,0.0,0.03,0.017035949657621435,0.9,0.0,0.0001
276,4158.797797969977,08:58:16 10-06-2021,6.127554696293201,5.333982518461884,0.9040254237288136,0.9008709016393442,32,True,0.0,0.03,0.016958110251752694,0.9,0.0,0.0001
277,4163.715904486179,09:03:11 10-06-2021,6.11528879424273,5.3184924008416345,0.9011652542372881,0.8988217213114754,32,False,0.0,0.03,0.01688021717015615,0.9,0.0,0.0001
